GeneID,67_S53,68_S54
Stk32b,0,0
Sdf2l1,9095,7278
Ulk2,821,1063
Rhbg,0,0
Gm14204,0,0
Gm19277,0,0
Mir6404,0,0
Ralgps2,201,241
Vmn2r95,0,0
Tiam1,45,31
Ypel1,37,41
Klhl22,357,323
Ndrg2,1045,1099
Man2c1,788,785
Gm14430,0,0
Setd6,577,422
Sis,0,0
Porcn,0,2
Gm12250,674,867
Satb2,0,0
Mark3,1434,1553
Itgb3,1232,1159
Zkscan3,930,724
Ripk4,4,13
Pde1a,0,0
Enpp4,224,274
Gimap8,441,338
Igsf1,0,0
Fbf1,168,152
Atraid,1773,1454
Mir496b,0,0
Dock9,187,267
Wdr76,125,94
Crtac1,4,10
Gm38402,0,0
Paqr7,563,705
Phf23,865,774
Ms4a8a,0,0
Olfr1053,0,0
Tpm1,713,604
Gramd4,834,627
Polk,514,452
Syne1,287,474
Dbi,6289,4996
Daxx,1144,1295
Cyp1a1,0,0
Cyp11b2,0,0
Cyp46a1,0,0
Oog3,0,0
Eif4ebp3,42,64
Mprip,1606,1429
Mir6411,0,0
Grin3a,0,0
Epc1,241,246
Dnm1l,1521,1362
Exoc3l4,0,0
Ccdc121,0,0
Defb21,0,0
Klk1,0,0
Rfc1,1279,1464
Rbp4,4,22
Rbp1,0,0
Gm1553,0,0
Esp16,0,0
Zfp850,61,45
Tnip1,1747,1624
Smarcd1,801,818
Kis2,3,6
Lpcat1,342,361
Dnm1,11,15
Secisbp2l,812,683
Rragd,132,186
Lrp8,568,367
Hsf4,109,64
Ampd3,5,3
Mgst2,1225,1581
Sh3bp1,3136,3092
Usf1,1008,701
Wdr44,301,295
Adamts10,760,542
Col26a1,6,3
C2cd6,0,0
Gm27775,0,0
Mir24-1,0,0
Itpa,1076,822
Gm2026,0,0
Rint1,442,425
Vasp,10431,8530
Pla2g4a,0,0
Igfbp7,44,29
Gdf5,0,0
Rgl2,184,196
Ptpra,1747,2057
Rabggta,836,841
Ccdc186,258,292
Slc16a11,33,22
Timm10b,1765,1422
Arvcf,8,23
Syt8,0,0
Kcnj15,3,3
Palld,6,25
Csde1,6159,6708
Dctn6,1288,1134
Slc26a1,0,0
Fgd4,0,0
Tpk1,105,105
Mgme1,182,145
St7,342,327
Azin2,16,16
Rgs21,0,0
Ddit3,263,209
Ltbp1,16,18
Cc2d2a,3,0
Dmp1,0,0
Gpr135,0,2
Ffar4,192,372
Aida,537,496
Mir6418,0,0
A730020M07Rik,0,0
Homer3,69,65
Hint3,589,549
Etfdh,1482,1364
Alg6,127,178
Slc44a5,0,0
Tspan2,126,188
Rufy3,429,360
Als2,342,591
Vgll1,0,0
Nus1,1636,1347
Cttnbp2nl,19,15
Adamts18,0,0
Il19,3,7
Asb18,0,0
Mettl18,120,124
Zfp819,0,0
Tm4sf1,0,0
Ubap1,1591,1431
1700049E22Rik,0,0
A730008H23Rik,0,0
Iqch,2,3
Slc2a4rg-ps,15,18
Retreg1,1170,1156
A330048O09Rik,0,0
Fhl1,2,3
Npbwr1,0,0
Hnrnpf,4421,4487
Sfxn4,51,45
Sfxn3,882,1080
2310057N15Rik,0,0
Camsap2,229,229
A930033H14Rik,2,1
Psmc5,4022,3410
Fli1,2830,2769
Peg12,1,1
Mlip,0,0
Ptx4,0,0
Cldn10,0,13
Rad18,587,549
Mrpl53,767,572
Tspan11,0,0
H2al2a,0,0
Nadsyn1,439,422
Trim42,0,0
Lrrc40,733,809
Spag16,0,0
Gvin1,0,0
Hmx1,0,0
Cxcl11,1,0
4933439C10Rik,18,23
Pdcd4,765,874
Pik3c2g,0,0
Krtap4-9,0,0
Zeb2,135,185
BC031181,2327,2032
Scrt2,0,0
Cyp39a1,1,4
Rpap3,695,625
Iltifb,0,0
Pmfbp1,0,0
Armcx3,88,61
Ccdc153,0,0
Lama1,0,0
Fanca,355,354
Naa30,406,454
Ovch2,0,0
Nkg7,45713,39977
Rap1gap,2,2
Chchd6,504,405
Olfr78,0,0
Zfp57,9,22
Rapgef4,40,55
Zbed4,110,85
Gtf2h3,1340,1231
Fcgrt,58,79
Mapk1,4120,4132
Ahcyl1,2005,2607
