"","genes","logFC","logCPM","PValue","FDR"
"Bcl2","Bcl2",1.68681432185334,5.34973497353917,0.0057405687817783,0.279358467815555
"Sesn3","Sesn3",1.64721145188376,4.6480869084437,0.00577739791876061,0.279358467815555
"H1f4","H1f4",1.86876318272555,3.95967621053755,0.00579021640699588,0.279358467815555
"Cox6a2","Cox6a2",-1.4799938565137,2.97471926559446,0.00612177639295473,0.294036572374107
"Pced1b","Pced1b",1.90984970224846,5.2066465873139,0.00617102829327304,0.295084859588109
"Gstp3","Gstp3",1.44286538984677,4.82582174331003,0.00632769476926019,0.301237469125975
"Foxd2os","Foxd2os",1.94894911811087,1.94206617066221,0.00642006267998816,0.304288345259879
"Socs1","Socs1",1.71865844239377,4.5473861233905,0.00647392242257348,0.305075773758073
"Cdkn2d","Cdkn2d",1.69995242479811,5.1160400294427,0.00649338713547716,0.305075773758073
"Haspin","Haspin",1.85952221553581,3.77575298990689,0.00652596757883969,0.305273413829288
"Vps37b","Vps37b",1.95336676622168,9.06909290124489,0.00686363916968497,0.318739669313817
"Depdc1b","Depdc1b",1.76940944706962,2.01839890754968,0.00687309259975885,0.318739669313817
"Glipr2","Glipr2",1.88413196340489,6.18021491429589,0.00702563496796501,0.324157502122018
"Fam83d","Fam83d",1.64049594085194,3.11969145212859,0.00705017710721742,0.324157502122018
"Birc5","Birc5",1.54784396858965,4.67556493612237,0.00745653309132195,0.340220863810495
"Gm4951","Gm4951",-1.7715795714748,2.4429712503467,0.00746278686302415,0.340220863810495
"Slain1","Slain1",1.53153660029978,5.17431687588621,0.00761552952770884,0.34442726136485
"Jaml","Jaml",1.70645405584296,4.09191941561628,0.00763782576254293,0.34442726136485
"Mxd3","Mxd3",1.71314382219477,2.20611416332938,0.00765109354644475,0.34442726136485
"Kcnab2","Kcnab2",1.82188451190886,6.39228492424856,0.0077710390901357,0.348369206544875
"Car9","Car9",-2.43505008813189,4.58213797391494,0.00811740340959498,0.362386486654906
"Ablim1","Ablim1",1.9734233084025,7.36236313001645,0.00832075412113233,0.369897963121897
"Rgs3","Rgs3",1.53540901692524,5.25058203463453,0.00835442002403763,0.369897963121897
"Slfn1","Slfn1",2.11982181429168,4.37133320929536,0.00845314827465169,0.372735337241711
"Ptpn7","Ptpn7",1.78327887798324,5.38151927171008,0.00865591836363448,0.379852459772089
