"","X67_S53","X68_S54"
"Morc2a",16.4491864587164,19.826333644528
"Atp6v1c2",0.414685372908817,0.0513635586645803
"C5ar1",0,0.410908469316643
"Map1a",0.414685372908817,0.256817793322902
"Gja5",141.638092924634,362.31854281995
"Runx2",109.569090753018,119.060728984497
"Gja3",0,0
"Ackr3",0,0
"Socs1",57.2726576139621,59.479000933584
"Sort1",1.84304610181696,1.74636099459573
"Rangrf",8.84662128872142,7.08817109571209
"Phyhd1",0.0460761525454241,0.308181351987482
"Slc4a9",0,0
"Specc1",17.8314710350791,19.7236065271989
"Gtf2a2",20.2274309674412,22.8054200470737
"Deaf1",14.6061403568994,14.3817964260825
"Mtarc1",0,0
"Set",334.144258259415,292.977738622766
"Glra3",0,0
"Dnhd1",1.42836072890815,2.05454234658321
"Tmem247",0,0
"Pgpep1l",0,0.154090675993741
"Notch3",0,0.0513635586645803
"Gtsf1l",0,0
"Chml",0.276456915272544,2.6195414918936
"Rnf212",0,0
"Tceal8",1.29013227127187,2.00317878791863
"Olfr935",0,0
"Gm5087",0,0
"Slco6b1",0,0
"Ranbp3",103.440962464477,88.6021386964011
"Parp6",6.81927057672276,10.0158939395932
"Gng10",103.302734006841,86.7530505844762
"Mrps18b",38.4735873754291,35.2867648025667
"D16Ertd472e",122.700794228464,111.510285860804
"2310039H08Rik",26.7702446288914,18.4395175605843
"Rps10",172.555191282613,142.944783763527
"Arih1",75.1041286490412,90.6053174843197
"Dancr",1.10582766109018,0.616362703974964
"9530026P05Rik",0,0
"Itgal",454.449092555518,514.200585791114
"Mir6408",0,0
"Sirt6",34.7414190192497,24.6545081589986
"Rgs12",6.54281366145022,7.49907956502873
"Gm10681",0,0
"Hfe",0.552913830545089,0.154090675993741
"Tdrd7",4.7919198647241,6.47180839173712
"Mir1298",0,0
"Ak2",172.416962824977,184.960174751154
"Znhit1",37.0452266465209,31.3831343440586
"Prx",1.38228457636272,1.64363387726657
"4930509K18Rik",0,0
"Zxdb",2.99494991545256,2.05454234658321
"Alas2",0,0
"Fiz1",33.7277436632504,41.3990282836518
"Doxl1",0,0
"Serpinh1",0.414685372908817,0
"Vmn2r65",0,0
"Myh3",0,0
"Grm5",0,0
"Apol7e",27.5074630696182,34.7731292159209
"Vill",1.56658918654442,0.975907614627027
"1700123O12Rik",0,0
